Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,SummaryQuote,Text
FLWS,"1-800 FLOWERS.COM, Inc.",9.95,649552775.7,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,"1-800-FLOWERS.COM, Inc. and its subsidiaries (collectively, the ""Company"") is a
leading provider of gourmet food and floral gifts for all occasions. For the
past 40 years, 1-800-FLOWERSÂ® (1-800-356-9377 or www.1800flowers.com) has been
helping deliver smiles for our customers with gifts for every occasion,
including fresh flowers and the finest selection of plants, gift baskets,
gourmet foods, confections, candles, balloons and plush stuffed animals. As
always, our 100% Smile GuaranteeÂ® backs every gift. The Company's CelebrationsÂ®
suite of services including Celebrations PassportÂ® Free Shipping program,
Celebrations RewardsÂ® and Celebrations RemindersSM, are all designed to engage
with customers and deepen relationships as a one-stop destination for all
celebratory and gifting occasions.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
FCCY,1st Constitution Bancorp (NJ),17,135715998,0,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,"1st Constitution Bancorp (the ""Company"") is a bank holding company registered
under the Bank Holding Company Act of 1956, as amended. The Company was
organized under the laws of the State of New Jersey in February 1999 for the
purpose of acquiring all of the issued and outstanding stock of 1st Constitution
Bank (the ""Bank"") and thereby enabling the Bank to operate within a bank holding
company structure. The Company became an active bank holding company on July 1,
1999. As of December 31, 2015, the Company has two employees, both of whom are
full-time. The Bank is a wholly-owned subsidiary of the Company. Other than its
investment in the Bank, the Company currently conducts no other significant
business activities.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
SRCE,1st Source Corporation,43.71,1131029119.92,0,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,"1st Source Corporation, an Indiana corporation incorporated in 1971, is a bank
holding company headquartered in South Bend, Indiana that provides, through its
subsidiaries (collectively referred to as ""1st Source"", ""we"", and ""our""), a
broad array of financial products and services. 1st Source Bank (""Bank""), its
banking subsidiary, offers commercial and consumer banking services, trust and
investment management services, and insurance to individual and business clients
through most of our 81 banking center locations in 17 counties in Indiana and
Michigan. 1st Source Bank's Specialty Finance Group, with 22 locations
nationwide, offers specialized financing services for new and used private and
cargo aircraft, automobiles and light trucks for leasing and rental agencies,
medium and heavy duty trucks and construction equipment. While our lending
portfolio is concentrated in certain equipment types, we serve a diverse client
base.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
VNET,"21Vianet Group, Inc.",7.06,407714703.48,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,"We commenced our operations in 1999, and through a series of corporate
restructurings, set up a holding company, AsiaCloud Inc., or AsiaCloud, in
October 2009 under the laws of the Cayman Islands. AsiaCloud was formerly a
wholly-owned subsidiary of aBitCool Inc., or aBitCool, a company incorporated
under the laws of the Cayman Islands. In October 2010, AsiaCloud effected a
restructuring whereby AsiaCloud repurchased all its outstanding shares held by
aBitCool and issued ordinary shares and preferred shares to the same
shareholders of aBitCool. In connection with the restructuring, AsiaCloud
subsequently changed its name to 21Vianet Group, Inc.

Due to certain restrictions under the PRC laws on foreign ownership of entities
engaged in data center and telecommunications value-added services, we conduct
our operations in China through contractual arrangements among us, our
wholly-owned PRC subsidiaries, our variable interest entities and their
shareholders.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
TWOU,"2U, Inc.",33.64,1583118954.04,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,"    2U enables great colleges and universities to bring their degree programs
online, allowing them to transform the way higher education is delivered. We
believe that our Platform, a fusion of cloud-based software-as-a-service
technology and technology-enabled services, allows our clients to reach students
globally, enabling the education they provide to reach its highest potential so
students can reach theirs.

Company Overview

    We are a leading provider of cloud-based software-as-a-service, or SaaS,
technology fused with technology-enabled services, which we refer to as our
Platform. Our Platform enables leading nonprofit colleges and universities to
deliver their high quality education to qualified students anywhere. Our SaaS
technology consists of an innovative online learning environment, which we refer
to as Online Campus, and our operations applications. This technology is fused
with technology-enabled services, to complete our Platform.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
JOBS,"51job, Inc.",35.23,943930460.33,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,"We commenced our business in 1998. In March 2000, our founders incorporated a
new holding company, now called 51job, Inc., as an exempted limited liability
company in the Cayman Islands under the Cayman Islands Companies Law.
Subsequently, 51job, Inc. acquired 51net.com Inc., or 51net, a British Virgin
Islands company, and other subsidiaries to become the holding company of our
corporate group.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
CAFD,8point3 Energy Partners LP,14.18,1121188153.68,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,"8point3 Energy Partners LP is a Delaware limited partnership formed on March 3,
2015, by 8point3 General Partner, LLC, a wholly-owned subsidiary of 8point3
Holding Company, LLC, a joint venture between First Solar and SunPower. A
registration statement on Form S-1, as amended through the time of its
effectiveness, was filed by the Partnership with the U.S. Securities and
Exchange Commission (""SEC"") and was declared effective on June 18, 2015. On June
19, 2015, Class A shares representing limited partner interests in 8point3
Energy Partners LP began trading on the NASDAQ Global Select Market (""NASDAQ"")
under the symbol ""CAFD"". On June 24, 2015, the Partnership completed its initial
public offering (the ""IPO"") of 20,000,000 Class A shares.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
EGHT,8x8 Inc,15.65,1417133541.6,0,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,"8x8 provides cloud-based, enterprise-class software solutions that transform the
way businesses communicate and collaborate globally. Delivered through a SaaS
(Software as a Service) business model, our solutions are at the forefront of a
disruptive technology shift that is occurring in business communications where
enterprises are increasingly replacing costly and unwieldy on-premises
communications equipment with agile, cloud-based software services delivered
over the public Internet.

Cloud computing has fundamentally changed the way enterprise software
applications are developed and deployed. Organizations no longer need to buy and
maintain their own infrastructure of servers, storage and tools in order to run
core business applications. Instead, companies can gain access to a variety of
business applications via an Internet browser or mobile device on an as-needed
basis, without the cost and complexity of managing the hardware or software
in-house.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
AVHI,"A V Homes, Inc.",16.05,362250361.8,0,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,"The following business description should be read in conjunction with our
audited consolidated financial statements and accompanying notes thereto
appearing elsewhere in this Annual Report on Form 10-K. Unless otherwise
indicated or the context otherwise requires, all references in this Annual
Report on Form 10-K to ""we,"" ""us,"" ""our,"" ""AV Homes,"" or the ""Company"" refer to
AV Homes, Inc. and its consolidated subsidiaries.
 
Company Overview
 
AV Homes, Inc. was incorporated in the state of Delaware in 1970. In 2012, we
changed our name from Avatar Holdings Inc. to AV Homes, Inc. Our principal
executive offices are located at 8601 N. Scottsdale Rd., Suite 225, Scottsdale,
Arizona 85253, and our telephone number is (480) 214-7400. Our website address
is www.avhomesinc.com. Information on our website does not constitute part of
this Annual Report on Form 10-K.

AV Homes, Inc.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
SHLM,"A. Schulman, Inc.",32.5,957403427.5,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,"A. Schulman, Inc. (the ""Company,"" ""A. Schulman,"" ""we,"" ""our"" and ""us"") was
founded as an Ohio corporation in 1928 by Alex Schulman in Akron, Ohio as a
processor of rubber compounds. During those early days, when Akron, Ohio was
known as the rubber capital of the world, Mr. Schulman saw opportunity in taking
existing rubber products and compounding new formulations to meet underserved
market needs. As the newly emerging science of polymers began to make market
strides in the early 1950s, A. Schulman was there to advance the possibilities
of the technology, leveraging its compounding expertise into developing
solutions to meet exact customer application requirements. The Company later
expanded into Europe, Latin America and Asia, establishing manufacturing plants,
innovation centers and sales offices in numerous countries. The Company changed
its state of incorporation to Delaware in 1969 and went public in 1972. Today,
A. Schulman, Inc.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
